GBFCE1812-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1759-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1807-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1780-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1779-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1217-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1804-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1784-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1838-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1767-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1777-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1799-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1836-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1765-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
BLPCD001-08|Pero.	Insecta	Lepidoptera	Geometridae	Ennominae	Pero	Pero_saturata
GWOR506-07|Tineigidia.	Insecta	Lepidoptera	Geometridae	Sterrhinae	Tineigidia	Tineigidia_eremica
LEPKA724-09|Naxa.	Insecta	Lepidoptera	Geometridae	Orthostixinae	Naxa	Naxa_guttulata
GBMOR3535-19|Ellipes.	Insecta	Orthoptera	Tridactylidae	Tridactylinae	Ellipes	Ellipes_minuta
GBMOR3537-19|Ellipes.	Insecta	Orthoptera	Tridactylidae	Tridactylinae	Ellipes	Ellipes_minuta
USAOR153-11|Ellipes.	Insecta	Orthoptera	Tridactylidae	Tridactylinae	Ellipes	Ellipes_minuta
GBHAP916-14|Bombus.	Insecta	Hymenoptera	Apidae	Apinae	Bombus	Bombus_lapidarius	Bombus_lapidarius_caucasicus
PMANL2742-13|Opogona.	Insecta	Lepidoptera	Tineidae	Hieroxestinae	Opogona	Opogona_sp__ACK7500
GMGLZ717-14|Diamesa.	Insecta	Diptera	Chironomidae	Diamesinae	Diamesa	Diamesa_simplex
GMGLZ717-14|Diamesa.	Insecta	Diptera	Chironomidae	Diamesinae	Diamesa	Diamesa_simplex
BEECB431-07|Osmia.	Insecta	Hymenoptera	Megachilidae	Megachilinae	Osmia	Osmia_gaudiosa
WAML092-18|Dynoides.	Malacostraca	Isopoda	Sphaeromatidae	Dynoides	Dynoides_elegans
